--------- beginning of main
01-22 14:14:07.537 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188047, state connected, tech 4G, cid 120762902, pcid 343, rsrp -111, rsrq -18, 
01-22 14:14:08.546 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188048, state connected, tech 4G, cid 120762902, pcid 343, rsrp -111, rsrq -18, 
01-22 14:14:10.135 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188049, state connected, tech 4G, cid 120762902, pcid 343, rsrp -108, rsrq -15, 
01-22 14:14:11.144 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188051, state connected, tech 4G, cid 120762902, pcid 343, rsrp -108, rsrq -15, 
01-22 14:14:12.802 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188052, state connected, tech 4G, cid 120762902, pcid 343, rsrp -108, rsrq -14, 
01-22 14:14:13.810 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188053, state connected, tech 4G, cid 120762902, pcid 343, rsrp -108, rsrq -14, 
01-22 14:14:15.435 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188054, state connected, tech 4G, cid 120762902, pcid 343, rsrp -107, rsrq -15, 
01-22 14:14:16.444 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188056, state connected, tech 4G, cid 120762902, pcid 343, rsrp -107, rsrq -15, 
01-22 14:14:17.808 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188057, state connected, tech 4G, cid 120762902, pcid 343, rsrp -109, rsrq -16, 
01-22 14:14:18.816 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188058, state connected, tech 4G, cid 120762902, pcid 343, rsrp -109, rsrq -16, 
01-22 14:14:20.219 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188059, state connected, tech 4G, cid 120762902, pcid 343, rsrp -110, rsrq -18, 
01-22 14:14:21.227 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188061, state connected, tech 4G, cid 120762902, pcid 343, rsrp -110, rsrq -18, 
01-22 14:14:22.589 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188062, state connected, tech 4G, cid 120762902, pcid 343, rsrp -108, rsrq -14, 
01-22 14:14:23.597 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188063, state connected, tech 4G, cid 120762902, pcid 343, rsrp -108, rsrq -14, 
01-22 14:14:24.903 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188064, state connected, tech 4G, cid 120762902, pcid 343, rsrp -111, rsrq -16, 
01-22 14:14:25.913 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188065, state connected, tech 4G, cid 120762902, pcid 343, rsrp -111, rsrq -16, 
